type,difficulty,category,question,correct_answer,option1,option2,option3,option4
multiple,medium,History,How many times was Albert Einstein married in his lifetime?,Twice,Once,Five,Twice,Thrice
multiple,hard,Entertainment: Comics,Which of the following rings from the DC Comics' 'Lantern Corps' are classified as Parasitic?,Indigo (Compassion),Yellow (Fear),Indigo (Compassion),Green (Willpower),White (Life)
boolean,easy,Entertainment: Music,The music group Daft Punk got their name from a negative review they recieved.,True,True,,False,
multiple,medium,Entertainment: Music,Which song previously recorded by Elvis Presley was covered by UB40 with a reggae beat?,Can't Help Falling in Love,Wooden Heart,Can't Help Falling in Love,Jailhouse Rock,In the Ghetto
multiple,easy,Entertainment: Musicals & Theatres,How many plays is Shakespeare generally considered to have written?,37,54,25,18,37
multiple,medium,Entertainment: Television,"In the television show 'Lazy Town', who is the actor of Robbie Rotten?",Stef&aacute;n Stef&aacute;nsson,Adam Sandler,Stef&aacute;n Stef&aacute;nsson,Magn&uacute;s Scheving,Stephen Carl
multiple,easy,Entertainment: Television,Who was the first ever actor to play 'The Doctor' on 'Doctor Who'?,William Hartnell,David Tennant,William Hartnell,Peter Capaldi,Tom Baker
multiple,hard,General Knowledge,"Located in Chile, El Teniente is the world's largest underground mine for what metal?",Copper,Copper,Silver,Iron,Nickel
multiple,medium,Entertainment: Video Games,What is the name of the 8th installment in the Fire Emblem series?,The Sacred Stones,Awakening,The Sacred Stones,Blazing Sword,Path of Radiance
multiple,hard,History,"When was the city of Rome, Italy founded?",753 BCE,524 BCE,902 BCE,753 BCE,697 BCE
multiple,medium,Entertainment: Japanese Anime & Manga,What is the name of the device that allows for infinite energy in the anime 'Dimension W'?,Coils,Collectors,Wires,Coils,Tesla
boolean,easy,Entertainment: Books,Stephen Chbosky wrote the book 'The Perks of Being A Wallflower'.,True,False,True,,
multiple,medium,Entertainment: Video Games,In what Half-Life expansion can you find Gordon's picture in an 'Employee of the Month' picture frame?,Half-Life: Opposing Force,Half-Life: Blue Shift,Half-Life: Opposing Force,Half-Life: Decay,They Hunger
multiple,medium,Art,What nationality was the surrealist painter Salvador Dali?,Spanish,Spanish,Portuguese,French,Italian
boolean,easy,Sports,Roger Federer is a famous soccer player.,False,False,True,,
multiple,hard,Entertainment: Board Games,"Which board game was first released on February 6th, 1935?",Monopoly,Candy Land,Monopoly,Clue,Risk
multiple,medium,Entertainment: Video Games,"In the game 'Red Dead Redemption', what is the name of John Marston's dog?",Rufus,Finn,Apollo,Rufus,Rutus
multiple,medium,Entertainment: Japanese Anime & Manga,"In JoJo's Bizarre Adventure, who says 'Yare yare daze'?",Jotaro Kujo,Jotaro Kujo,Koichi Hirose,Joseph Joestar,Jolyne Cujoh
multiple,medium,Sports,Which German sportswear company's logo is the 'Formstripe'?,Puma,Nike,Puma,Reebok,Adidas
multiple,hard,Entertainment: Video Games,"In 'Earthbound', how does one enter 'Master Belch's' factory?",Wait 3 Minutes,Enter the password 'Fly Honey',Enter the password 'Mr Saturn Drools',Enter the password 'Master Belch Rules',Wait 3 Minutes
multiple,easy,Entertainment: Film,Which movie includes a giant bunny-like spirit who has magic powers including growing trees?,My Neighbor Totoro,My Neighbor Totoro,Hop,Rise of the Guardians,Alice in Wonderland
multiple,hard,General Knowledge,What year was Queen Elizabeth II born?,1926,1930,1929,1923,1926
multiple,medium,Entertainment: Comics,What is the designation given to the Marvel Cinematic Universe?,Earth-199999,Earth-616,Earth-2008,Earth-10005,Earth-199999
multiple,easy,Entertainment: Video Games,"In Rust, how many Timed Explosive Charges does it take to destroy a Ladder Hatch?",1,3,1,5,2
boolean,medium,Science: Computers,It's not possible to format a write-protected DVD-R Hard Disk.,True,,,False,True
multiple,easy,Entertainment: Film,"In the movie Gremlins, after what time of day should you not feed Mogwai?",Midnight,Evening,Morning,Afternoon,Midnight
multiple,easy,Entertainment: Film,The 1996 film 'Fargo' is primarily set in which US state?,Minnesota,North Dakota,Wisconsin,Minnesota,South Dakota
multiple,medium,Entertainment: Video Games,Which car is NOT featured in 'Need for Speed: Hot Pursuit 2'?,Toyota MR2,BMW Z8,Ford Crown Victoria,Toyota MR2,McLaren F1
multiple,hard,Vehicles,Which of these is NOT a car model produced by Malaysian car manufacturer Proton?,Kelisa,Kelisa,Perdana,Inspira,Saga
multiple,medium,Entertainment: Comics,Who created Ultron of Earth-616?,Henry Pym,Henry Pym,Amadeus Cho,Reed Richards,Tony Stark
multiple,medium,Entertainment: Video Games,"Which stage was planned to be a part of 'Sonic the Hedgehog 2', but was scrapped during development?",Genocide City Zone,Sky High Zone ,Stardust Speedway Zone,Genocide City Zone,Clockwork Zone
multiple,medium,Geography,What is the capital of Seychelles?,Victoria,Luanda,Victoria,Tripoli,N'Djamena
multiple,medium,Entertainment: Japanese Anime & Manga,The main protagonist of the fifth part of JoJo's Bizarre Adventure is which of the following?,Giorno Giovanna,Guido Mista,Jonathan Joestar,Giorno Giovanna,Joey JoJo
boolean,medium,Entertainment: Television,An episode of 'The Simpsons' is dedicated to Moe Szyslak's bar rag.,True,True,,False,
multiple,medium,Science & Nature,What is the atomic number of the element Strontium?,38,73,47,11,38
boolean,easy,Entertainment: Video Games,"In the game 'Subnautica', a 'Spadefish' will attack you.",False,,True,False,
multiple,easy,Entertainment: Video Games,What were the first two blocks in 'Minecraft'?,Grass and Cobblestone,Cobblestone and Stone,Grass and Stone,Crafting Table and Cobblestone,Grass and Cobblestone
multiple,easy,General Knowledge,What is the name of NASA&rsquo;s most famous space telescope?,Hubble Space Telescope,Big Eye,Death Star,Hubble Space Telescope,Millenium Falcon
multiple,easy,General Knowledge,The drug cartel run by Pablo Escobar originated in which South American city?,Medell&iacute;n,Cali,Bogot&aacute;,Medell&iacute;n,Quito
multiple,medium,Geography,What's the first National Park designated in the United States?,Yellowstone,Sequoia ,Yellowstone,Yosemite,Rocky Mountain
multiple,medium,General Knowledge,Which country has the most Trappist breweries?,Belgium,USA,France,Netherlands,Belgium
multiple,medium,Geography,"Which country inside the United Kingdom does NOT appear on its flag, the Union Jack?",Wales,Ireland,Isle of Wight,Scotland,Wales
multiple,easy,Entertainment: Video Games,Who turns out to be the true victor in the Battle of Armageddon in Mortal Kombat?,Shao Kahn,Liu Kang,Shang Tsung,Raiden,Shao Kahn
multiple,easy,General Knowledge,What is the famous Papa John's last name?,Schnatter,Chowder,Schnatter,Williams,ANDERSON
multiple,hard,Science: Computers,What is the name given to layer 4 of the Open Systems Interconnection (ISO) model?,Transport,Network,Transport,Data link,Session
multiple,medium,Entertainment: Musicals & Theatres,"In which Shakespeare play does the character Marcellus say, 'Something is rotten in the state of Denmark'?",Hamlet,King Lear,Twelfth Night,Hamlet,Macbeth
multiple,easy,Geography,What is the Capital of the United States?,"Washington, D.C.","New York City, NY","Houston, TX","Los Angelas, CA","Washington, D.C."
multiple,medium,Science: Mathematics,What is the Roman numeral for 500?,D,C,D,L,X
multiple,easy,Entertainment: Video Games,Which of these covert groups employs Sam Fisher to work as a Splinter Cell?,Third Echelon,Voron,Third Echelon,The Engineers,Black Arrow
multiple,hard,Entertainment: Video Games,"What's the name of the halloween-related Sims 4 Stuff Pack released September 29th, 2015?",Spooky Stuff,Ghosts n' Ghouls,Fearful Frights,Nerving Nights,Spooky Stuff
multiple,medium,Entertainment: Video Games,"In Monster Hunter Generations, which of the following monsters are a part of the 'Fated Four'?",Astalos,Arzuros,Astalos,Malfestio,Gore Magala
multiple,easy,Science & Nature,What does the letter 'S' stand for in 'NASA'?,Space,Society,Science,Star,Space
multiple,medium,General Knowledge,Which American manufactured submachine gun was informally known by the American soldiers that used it as 'Grease Gun'?,M3,Colt 9mm,MAC-10,M3,Thompson
multiple,medium,Science & Nature,The medical condition osteoporosis affects which part of the body?,Bones,Heart,Brain,Skin,Bones
multiple,medium,Science & Nature,Which psychological term refers to the stress of holding contrasting beliefs?,Cognitive Dissonance,Split-Brain,Flip-Flop Syndrome,Blind Sight,Cognitive Dissonance
multiple,hard,Entertainment: Video Games,"In the 'PAYDAY' series, what is the real name of the character known as 'Dallas'?",Nathan Steele,Nathan Steele,Nate Siemens,Nick Stamos,Nolan Stuhlinger
multiple,easy,Geography,Harvard University is located in which city?,Cambridge,Washington D.C.,Cambridge,Providence,New York
boolean,hard,Entertainment: Video Games,The first 'Metal Gear' game was released for the PlayStation 1.,False,,True,,False
multiple,hard,Sports,With which doubles partner did John McEnroe have most success?,Peter Fleming,Peter Fleming,Michael Stich,Mary Carillo,Mark Woodforde
multiple,medium,Entertainment: Television,"The first half-hour CGI cartoon, ReBoot, aired on which year?",1994,1994,1999,1998,1993
multiple,medium,Entertainment: Comics,What was the name of the first Robin in the Batman comics?,Dick Grayson,Tim Drake,Dick Grayson,Bruce Wayne,Jason Todd
multiple,medium,Mythology,What animal did Queen Pasipahe sleep with before she gave birth to the Minotaur in Greek Mythology?,Bull,Horse,Ox,Pig,Bull
boolean,medium,Entertainment: Music,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",True,,,True,False
multiple,hard,General Knowledge,Which of the following languages does NOT use gender as a part of its grammar?,Turkish,German,Turkish,Polish,Danish
multiple,medium,General Knowledge,Amsterdam Centraal station is twinned with what station?,London Liverpool Street,Paris Gare du Nord,Frankfurt (Main) Hauptbahnhof,Brussels Midi,London Liverpool Street
multiple,medium,Entertainment: Japanese Anime & Manga,The main protagonist of the fourth part of JoJo's Bizarre Adventure is which of the following?,Josuke Higashikata,Josuke Higashikata,Yoshikage kira,Koichi Hirose,Joey JoJo
boolean,hard,Entertainment: Film,YouTube personality Jenna Marbles served as an executive producer of the film Maximum Ride (2016).,True,True,,False,
multiple,medium,Entertainment: Books,The title of Adolf Hitler's autobiography 'Mein Kampf' is what when translated to English?,My Struggle,My Struggle,My Hatred,My Sadness,My Desire
multiple,medium,Entertainment: Video Games,What is the item required to summon the boss Duke Fishron in the game Terraria?,Truffle Worm,Suspicious Looking Fish,King Grasshopper,Slug,Truffle Worm
multiple,easy,Science & Nature,Which of the following bones is not in the leg?,Radius,Fibula ,Radius,Patella,Tibia
multiple,medium,Entertainment: Video Games,What is Solid Snake's real name?,David,David,Huey,John,Solid Snake
multiple,medium,Entertainment: Comics,The stuffed tiger in Calvin and Hobbes is named after what philosopher?,Thomas Hobbes,Thomas Hobbes,John Hobbes,Nathaniel Hobbes,David Hobbes
multiple,medium,Science: Computers,How many cores does the Intel i7-6950X have?,10,12,10,8,4
boolean,easy,Entertainment: Video Games,"In 'Super Mario Bros.', the clouds and bushes have the same artwork and are just different colors.",True,,True,,False
multiple,medium,Entertainment: Cartoon & Animations,What is the standard frame rate for animation?,24 FPS,60 FPS,24 FPS,30 FPS,12 FPS
boolean,easy,Entertainment: Film,"'Foodfight!' earned less than $80,000 at box office.",True,False,,True,
multiple,easy,General Knowledge,"On a dartboard, what number is directly opposite No. 1?",19,15,12,19,20
multiple,easy,Science: Mathematics,What prime number comes next after 19?,23,27,23,21,25
boolean,medium,Entertainment: Video Games,"The Sniper's SMG in Team Fortress 2, was originally intended to be the Scout's primary weapon.",True,True,,False,
boolean,medium,History,Franz Joseph I was the last emperor of Austria.,False,,True,,False
multiple,medium,Celebrities,Which actress's real name was Frances Ethel Gumm?,Judy Garland,Judy Garland,Marilyn Monroe,Doris Day,Julie Andrews
multiple,medium,Entertainment: Video Games,How many controllers could a Nintendo GameCube have plugged in at one time?,4,2,6,8,4
multiple,easy,Entertainment: Video Games,In World of Warcraft the default UI color that signifies Druid is what?,Orange,Orange,Blue,Green,Brown
multiple,hard,Entertainment: Music,Which company did the animation for Peter Gabriel's Video Sledgehammer (1986)?,Aardman Animations,Illumination Entertainment,VIZ Media,HIT Entertainment,Aardman Animations
multiple,medium,History,In what year was the famous 45 foot tall Hollywood sign first erected?,1923,1923,1933,1903,1913
multiple,medium,Entertainment: Music,What song on ScHoolboy Q's album Black Face LP featured Kanye West?,THat Part,Blank Face,THat Part,Big Body,Neva CHange
multiple,medium,Entertainment: Cartoon & Animations,"In 'The Simpsons', where did Homer and Marge first meet?",At Summer Camp,At Church,At High School,At Summer Camp,At 742 Evergreen Terrace
multiple,medium,Entertainment: Musicals & Theatres,When was the play 'Macbeth' written?,1606,1605,1606,1723,1628
multiple,hard,Entertainment: Books,"Which author and poet famously wrote the line, 'The female of the species is more deadly than the male'?",Rudyard Kipling,William Shakespeare,William Wordsworth,Rudyard Kipling,Edgar Allan Poe
multiple,hard,Animals,Which of these animals is NOT a lizard?,Tuatara,Green Iguana,Gila Monster,Tuatara,Komodo Dragon
multiple,hard,Vehicles,What model was the sports car gifted to Yuri Gagarin by the French government in 1965?,Matra Djet,AC Cobra,Porsche 911,Alpine A110,Matra Djet
boolean,medium,General Knowledge,Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,False,True,,,False
multiple,easy,History,When was Google founded?,"September 4, 1998","December 12, 1989","September 4, 1998","Feburary 7th, 2000","October 9, 1997"
multiple,easy,Entertainment: Japanese Anime & Manga,"In the anime 'My Hero Academia', which character is shown with the ability to manipulate gravity?",Uraraka,Asui ,Uraraka,Bakugo,Deku
multiple,easy,Entertainment: Music,"Who had a 1969 top 5 hit with the song,  'A Boy Named Sue'?",Johnny Cash,Bob Dylan,Johnny Cash,Kris Kristofferson,Willie Nelson
boolean,easy,Animals,The Axolotl is an amphibian that can spend its whole life in a larval state.,True,,True,False,
multiple,medium,Entertainment: Video Games,The original Planetside was released in North America on...,"May 20, 2003","September 29, 2003","January 14, 2005","May 20, 2003","June 17, 2001"
multiple,easy,Entertainment: Video Games,Which Mario spin-off game did Waluigi make his debut?,Mario Tennis,Mario Tennis,Mario Golf: Toadstool Tour,Mario Party 3,Mario Kart: Double Dash!!
multiple,medium,Geography,The Japanese district Akihabara is also known by what nickname?,Electric Town,Big Eyes,Electric Town,Otaku Central ,Moon Walk River
multiple,hard,General Knowledge,What is the romanized Chinese word for 'airplane'?,Feiji,Huojian,Zongxian,Qiche,Feiji
multiple,hard,Politics,"Who was the longest-serving senator in US history, serving from 1959 to 2010?",Robert Byrd,Strom Thurmond,Robert Byrd,Joe Biden,Daniel Inouye
multiple,easy,Entertainment: Japanese Anime & Manga,How many 'JoJos' that are protagonists are there in the series 'Jojo's Bizarre Adventure'?,8,5,8,4,6
multiple,easy,Entertainment: Music,"According to the American rapper Nelly, what should you do when its hot in here?",Take off all your clothes,Drink some water,Go skinny dipping,Take off all your clothes,Take a cool shower
multiple,medium,Entertainment: Video Games,"On the 6th of June 2006, what was the name of the infamous glitch that occurred in the MMO RuneScape?",The Falador Massacre,The Falador Massacre,TzHaar Massacre,Party-hat Duplication Glitch,Noclip glitch
multiple,medium,Science & Nature,What part of the brain takes its name from the Greek for seahorse?,Hippocampus,Cerebellum,Hippocampus,Thalamus,Amygdala
multiple,hard,Entertainment: Television,What is the Klingon's afterlife called?,Sto-vo-kor,Valhalla,New Jersey,Sto-vo-kor,Karon'gahk
boolean,medium,Entertainment: Video Games,The character that would eventually become Dr. Eggman was considered for the role of Sega's new flagship mascot before Sonic was.,True,,False,True,
multiple,medium,General Knowledge,What is a dead mall?,A mall with high vacancy rates or low consumer foot traffic,A mall with high vacancy rates or low consumer foot traffic,A mall after business hours,A mall with no stores,A mall that has been condemed
boolean,easy,General Knowledge,Ping-Pong originated in England,True,False,True,,
multiple,medium,Entertainment: Books,Who wrote the children's story 'The Little Match Girl'?,Hans Christian Andersen,Charles Dickens,Oscar Wilde,Hans Christian Andersen,Lewis Carroll
multiple,easy,Animals,"The Kākāpō is a large, flightless, nocturnal parrot native to which country?",New Zealand,South Africa,Madagascar,New Zealand,Australia
multiple,medium,Geography,Lake Titicaca is located between which two nations?,Peru and Bolivia,Kenya and Uganda,Mexico and the United States,India and Bangladesh,Peru and Bolivia
multiple,hard,History,What age was King Henry V when he died?,35,35,87,73,62
multiple,medium,Entertainment: Film,"In the 2014 film 'Birdman', what is the primary instrument in the score?",Drums,Saxophone,Violin,Drums,Actual Live Birds Singing
multiple,easy,Entertainment: Film,"This movie contains the quote, 'Nobody puts Baby in a corner.'",Dirty Dancing,Ferris Bueller's Day Off,Three Men and a Baby,Dirty Dancing,Pretty in Pink
multiple,hard,History,When did the French Revolution begin?,1789,1789,1756,1823,1799
multiple,easy,Science: Computers,What does the computer software acronym JVM stand for?,Java Virtual Machine,Just Virtual Machine,Java Visual Machine,Java Virtual Machine,Java Vendor Machine
multiple,easy,Vehicles,Automobiles produced by Tesla Motors operate on which form of energy?,Electricity,Diesel,Nuclear,Electricity,Gasoline
multiple,hard,Entertainment: Cartoon & Animations,Who voice acted the character Hiccup in the movie 'How to Train Your Dragon'?,Jay Baruchel,Jack Brauchel,Jay Baruchel,John Powell,Gerard Butler
multiple,easy,Entertainment: Film,The 2016 Disney animated film 'Moana' is based on which culture?,Polynesian,Japanese,Polynesian,Native American,Nordic
multiple,medium,Geography,Which of the following is not a megadiverse country - one that harbors a high number of the earth's endemic species?,Thailand,Thailand,Mexico,Peru,South Africa
multiple,hard,Art,What year did Albrecht D&uuml;rer create the painting 'The Young Hare'?,1502,1602,1402,1702,1502
multiple,hard,Entertainment: Music,"What was the name of the cold-war singer who has a song in Grand Theft Auto IV, and a wall landmark in Moscow for his memorial?",Viktor Tsoi,Vladimir Vysotsky,Viktor Tsoi,Brian Jones,Jimi Hendrix
multiple,hard,Entertainment: Music,How many members are there in the idol group '&micro;'s'?,9,9,48,6,3
multiple,medium,Entertainment: Video Games,Which of these 'Worms' games featured 3D gameplay?,Worms 4: Mayhem,Worms 4: Mayhem,Worms W.M.D,Worms: Open Warfare 2,Worms Reloaded
multiple,easy,Entertainment: Video Games,Which student in Yandere Simulator is known for asking irritating and stupid questions?,Midori Gurin,Oka Ruto,Kokona Hruka,Midori Gurin,Pipi Osu
boolean,medium,Entertainment: Video Games,The Fiat Multipla is a drivable car in 'Forza Horizon 3'.,False,,False,True,
boolean,medium,Vehicles,"When BMW was established in 1916, it was producing automobiles.",False,True,,False,
multiple,medium,Entertainment: Video Games,Who was the main antagonist of Max Payne 3 (2012)?,Victor Branco,Milo Rego,&Aacute;lvaro Neves,Armando Becker,Victor Branco
multiple,medium,Entertainment: Music,Who performed the guitar solo on Michael Jackson's hit 'Beat It'?,Eddie Van Halen,Eddie Van Halen,Zakk Wylde,Kirk Hammett,Steve Vai
multiple,medium,Entertainment: Books,"In Terry Pratchett's Discworld novel 'Wyrd Sisters', which of these are not one of the three main witches?",Winny Hathersham,Granny Weatherwax,Nanny Ogg,Winny Hathersham,Magrat Garlick
multiple,medium,Entertainment: Video Games,Mirror's Edge Catalyst takes place in the City of...?,Glass,Mirrors,Diamonds,Glass,Purity
multiple,hard,Science & Nature,Which moon is the only satellite in our solar system to possess a dense atmosphere?,Titan,Titan,Callisto,Miranda,Europa
multiple,hard,Mythology,What immense structure is referred to in Norse Mythology as the Yggdrasil.,Tree,Tree,Temple,Mountain,Castle
multiple,hard,Mythology,"According to Algonquian folklore, how does one transform into a Wendigo?",Participating in cannibalism.,Performing a ritual involving murder.,Drinking the blood of many slain animals.,Participating in cannibalism.,Excessive mutilation of animal corpses.
multiple,hard,Entertainment: Video Games,"In the Fallout series, on which date did The Great War happen?","October 23rd, 2077","May 15th, 2058","October 23rd, 2077","December 14th, 2069","November 5th, 2076"
multiple,hard,History,Which of these positions did the astronomer and physicist Isaac Newton not hold?,Surveyor to the City of London,Warden of the Royal Mint,Professor of Mathematics,Member of Parliament,Surveyor to the City of London
multiple,medium,Entertainment: Film,"In The Lord of the Rings: The Fellowship of the Ring, which one of the following characters from the book was left out of the film?",Tom Bombadil,Celeborn,Tom Bombadil,Barliman Butterbur,Strider
multiple,easy,Entertainment: Video Games,Which of 2 Valve Games are set in the same universe?,Half-life and Portal,Half-life and Portal,Portal and Left 4 Dead,Half-life and Counter Strike,Half-life and Left 4 Dead
boolean,easy,Entertainment: Video Games,There are 2 player roles in Trouble in Terrorist Town.,False,True,,,False
boolean,easy,Entertainment: Video Games,"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",True,False,True,,
boolean,easy,Mythology,"In Norse mythology, Thor once dressed as a woman.",True,,False,,True
multiple,medium,Entertainment: Video Games,Which of these is the name of a cut enemy from 'Half-Life 2'?,Hydra,Hydra,Spike,Tremor,Cthulu
multiple,easy,Entertainment: Video Games,Which of the following is NOT one of the main characters in Grand Theft Auto V&rsquo;s story mode?,Tommy Vercetti,Trevor Phillips,Franklin Clinton,Tommy Vercetti,Michael de Santa
multiple,easy,Entertainment: Film,"In the movie 'V for Vendetta,' what is the date that masked vigilante 'V' urges people to remember?",November 5th,November 6th,November 5th,September 5th,November 4th
multiple,hard,Entertainment: Japanese Anime & Manga,Medaka Kurokami from 'Medaka Box' has what abnormality?,The End,Sandbox,Fairness,Perfection,The End
multiple,easy,Entertainment: Music,The 'British Invasion' was a cultural phenomenon in music where British boy bands became popular in the USA in what decade?,60's,50's,40's,30's,60's
multiple,medium,General Knowledge,What is a 'dakimakura'?,A body pillow,A body pillow,A yoga posture,A word used to describe two people who truly love each other,"A Chinese meal, essentially composed of fish"
boolean,medium,Science: Computers,FLAC stands for 'Free Lossless Audio Condenser'',False,True,False,,
multiple,hard,Entertainment: Video Games,"In the Nintendo Game Splatoon 2, what is Marina's screen name?",DJ_Hyperfresh,DJ_Hyperfresh,I<30ffTh3H00k,MC.princess,Kidnotsquid123
multiple,easy,Sports,How many points did LeBron James score in his first NBA game?,25,25,41,19,69
multiple,hard,Entertainment: Music,Chino Moreno is the lead singer of which alternative metal band?,Deftones,Korn,Type O Negative,Deftones,Tool
boolean,easy,General Knowledge,Jingle Bells was originally meant for Thanksgiving,True,True,,False,
multiple,medium,Entertainment: Music,Which alternative rock band released the critically-acclaimed album 'OK Computer'?,Radiohead,Coldplay,R.E.M.,Radiohead,Nirvana
multiple,hard,Entertainment: Japanese Anime & Manga,"In the anime, Full Metal Panic!, who is Kaname's best friend?",Kyoko Tokiwa,Kyoko Tokiwa,Ren Mikihara,Teletha 'Tessa' Testarossa,Melissa Mao
multiple,hard,Entertainment: Video Games,In which game did the character 'Mario' make his first appearance?,Donkey Kong,Donkey Kong,Mario Bros.,Super Mario Land,Super Mario Bros.
multiple,hard,Entertainment: Film,"In 2012, which movie won every category in the 32nd 'Golden Raspberry Awards'?",Jack and Jill,The Girl with the Dragon Tattoo,The King's Speech,Thor,Jack and Jill
boolean,medium,Entertainment: Cartoon & Animations,Donald Duck played the role of Bob Cratchit in Disney's 1983 adaptation of A Christmas Carol.,False,,False,,True
multiple,medium,Entertainment: Music,Which song made by MAN WITH A MISSION was used as the opening for the anime 'Log Horizon'?,'Database','Raise Your Flag','Dead End in Tokyo','Out of Control','Database'
multiple,medium,Entertainment: Film,"What city did the monster attack in the film, 'Cloverfield'?","New York, New York","Chicago, Illinois","Las Vegas, Nevada","Orlando, Florida","New York, New York"
multiple,medium,Entertainment: Television,"In 'The Simpsons', what is the real name of 'Comic Book Guy'?",Jeff Albertson,Comic Book Guy,Edward Stone,Jeff Albertson,Jack Richardson
multiple,easy,Entertainment: Film,"In which film does Humphrey Bogart say the famous line, 'Here's looking at you, kid'?",Casablanca,Citizen Kane,The Treasure of the Sierra Madre,The Maltese Falcon,Casablanca
multiple,easy,Animals,What is the collective noun for a group of crows?,Murder,Gaggle,Herd,Pack,Murder
multiple,easy,Animals,Hippocampus is the Latin name for which marine creature?,Seahorse,Whale,Octopus,Dolphin,Seahorse
multiple,hard,Entertainment: Music,Which M83 album is the song 'Midnight City' featured in?,"Hurry Up, We're Dreaming",Before the Dawn Heals Us,"Hurry Up, We're Dreaming",Saturdays = Youth,Junk
boolean,easy,Entertainment: Video Games,Codemasters is the developer of the Gran Turismo series.,False,,,True,False
multiple,hard,Science & Nature,What is the scientific name of the red fox?,Vulpes Vulpes,Vulpes Vulpes,Vulpes Vulpie,Vulpes Redus,Red Fox
multiple,medium,Entertainment: Video Games,"Without enchantments, which pickaxe in minecraft mines blocks the quickest.",Golden ,Diamond,Golden ,Iron,Obsidian
multiple,hard,Science & Nature,What is the scientific name for the extinct hominin known as 'Lucy'?,Australopithecus Afarensis,Australopithecus Architeuthis,Australopithecus Africanus,Australopithecus Antaris,Australopithecus Afarensis
multiple,hard,Entertainment: Japanese Anime & Manga,Who was the Director of the 1988 Anime film 'Grave of the Fireflies'?,Isao Takahata,Isao Takahata,Satoshi Kon,Sunao Katabuchi,Hayao Miyazaki
multiple,hard,Mythology,"Talos, the mythical giant bronze man, was the protector of which island?",Crete,Sicily,Crete,Cyprus,Sardinia
multiple,easy,General Knowledge,How tall is the Burj Khalifa?,"2,722 ft","2,546 ft","3,024 ft","2,722 ft","2,717 ft"
multiple,medium,Mythology,"The Hippogriff, not to be confused with the Griffon, is a magical creature with the front half of an eagle, and the back half of what?",A Horse,A Lion,A Tiger,A Horse,A Dragon
multiple,hard,Entertainment: Music,Which Death Grips album is the only one to feature a band member?,No Love Deep Web,Bottomless Pit,The Money Store,The Powers That B,No Love Deep Web
boolean,medium,General Knowledge,The vapor produced by e-cigarettes is actually water.,False,True,False,,
multiple,medium,Entertainment: Video Games,What CoD 'Deathstreak' is only featured in Call of Duty : Modern Warfare 2?,Copycat,Copycat,Final Stand,Revenge, Martrydom
multiple,medium,General Knowledge,Which item of clothing is usually worn by a Scotsman at a wedding?,Kilt,Rhobes,Kilt,Skirt,Dress
multiple,easy,General Knowledge,Which of the following is the IATA code for Manchester Airport?,MAN,LHR,EGCC,EGLL,MAN
boolean,medium,General Knowledge,The term 'Spam' came before the food product 'Spam'.,False,False,,,True
boolean,medium,Science: Computers,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,False,,,False,True
multiple,medium,Entertainment: Books,The book 'The Little Prince' was written by...,Antoine de Saint-Exup&eacute;ry,F. Scott Fitzgerald,Antoine de Saint-Exup&eacute;ry,Miguel de Cervantes Saavedra,Jane Austen
boolean,medium,Entertainment: Television,"In the TV series Red Dwarf, Kryten's full name is Kryten 2X4B-523P.",True,False,,True,
multiple,hard,Entertainment: Video Games,What is the homeworld of the Elites from Halo?,Sanghelios,Sanghelios,Eayn,Doisac,Te
multiple,medium,Entertainment: Television,Alan Reed is known for providing the voice of which character?,Fred Flintstone,Bugs Bunny,G.I. Joe,Fangface,Fred Flintstone
multiple,hard,Entertainment: Video Games,How many aces can be shot down through the entirety of 'Ace Combat Zero: The Belkan War'?,169,169,245,100,132
multiple,medium,Entertainment: Cartoon & Animations,Who voiced Finn in Adventure Time?,Jeremy Shada,Nolan North,Jeremy Shada,Tom Kenny,John DiMaggio
multiple,medium,Entertainment: Video Games,"Excluding their instructor, how many members of Class VII are there in the game 'Legend of Heroes: Trails of Cold Steel'?",9,10,9,6,3
multiple,easy,Entertainment: Video Games,"In Minecraft, which two items must be combined to craft a torch?",Stick and Coal,Wood and Fire,Wood and Coal,Stick and Coal,Stick and Fire
boolean,easy,Science: Mathematics,The 'Squaring the Circle' problem is solvable.,False,,False,True,
multiple,medium,Science: Gadgets,Who patented a steam engine that produced continuous rotary motion?,James Watt,Nikola Tesla,Alessandro Volta,Albert Einstein,James Watt
multiple,easy,Entertainment: Music,The 2016 song 'Starboy' by Canadian singer The Weeknd features which prominent electronic artist?,Daft Punk,Disclosure,Daft Punk,DJ Shadow,deadmau5
multiple,medium,Entertainment: Cartoon & Animations,Which one of these cartoon characters is NOT voiced by Rob Paulsen?,Max Tennyson (Ben 10),Max Tennyson (Ben 10),Carl Wheezer (Jimmy Neutron),Yakko Warner (Animaniacs),"The Mask (The Mask, TV Series)"
multiple,easy,Sports,Which African American is in part responsible for integrating  Major League baseball?,Jackie Robinson,Roy Campanella,Curt Flood,Satchell Paige,Jackie Robinson
boolean,easy,History,Adolf Hitler was tried at the Nuremberg trials.,False,False,,,True
